"Year","Fossil.Fuel","Unallocated","Total.Budget","Low.Carbon.Energy","Percent.Change","Country","Date","Era"
"1985",652.894,0,5137.416,4484.522,NA,"US",1985-01-01,"Pre"
"1986",650.857,0,4617.915,3967.058,-11.5388886485561,"US",1986-01-01,"Pre"
"1987",542.755,0,4099.938,3557.183,-10.3319638886046,"US",1987-01-01,"Pre"
"1988",860.598,0,4331.467,3470.869,-2.42647060890599,"US",1988-01-01,"Pre"
"1989",868.783,0,4177.884,3309.101,-4.66073481885947,"US",1989-01-01,"Pre"
"1990",1603.252,0,4645.03,3041.778,-8.07841767295711,"US",1990-01-01,"Pre"
"1991",1377.641,0,4675.685,3298.044,8.42487518813012,"US",1991-01-01,"Pre"
"1992",694.232,0,3825.668,3131.436,-5.05172156587359,"US",1992-01-01,"Pre"
"1993",679.193,0,3733.84,3054.647,-2.45219764989609,"US",1993-01-01,"Pre"
"1994",816.902,0,4108.394,3291.492,7.75359640573854,"US",1994-01-01,"Pre"
"1995",497.674,0,3970.386,3472.712,5.50570987260488,"US",1995-01-01,"Pre"
"1996",556.568,0,3479.586,2923.018,-15.8289544310038,"US",1996-01-01,"Pre"
"1997",262.028,0,3127.519,2865.491,-1.96806861948849,"US",1997-01-01,"Pre"
"1998",279.265,0,3185.354,2906.089,1.4167903511126,"US",1998-01-01,"Pre"
"1999",309.723,0,3558.812,3249.089,11.8028043876151,"US",1999-01-01,"Pre"
"2000",314.721,0,3438.853,3124.132,-3.8459088070533,"US",2000-01-01,"Pre"
"2001",523.43,0,4175.642,3652.212,16.9032550481222,"US",2001-01-01,"Pre"
"2002",620.042,0,4159.581,3539.539,-3.08506187483092,"US",2002-01-01,"Pre"
"2003",595.831,0,3939.784,3343.953,-5.52574784456395,"US",2003-01-01,"Pre"
"2004",601.42,0,4030.033,3428.613,2.53173414817732,"US",2004-01-01,"Pre"
"2005",544.101,0,4468.082,3923.981,14.4480581506283,"US",2005-01-01,"Pre"
"2006",542.078,0,4131.873,3589.795,-8.51650402996346,"US",2006-01-01,"Pre"
"2007",577.772,0,5162.358,4584.586,27.7116381297539,"US",2007-01-01,"Pre"
"2008",709.101,0,5497.867,4788.766,4.45361914903549,"US",2008-01-01,"Pre"
"2009",4181.807,0,12221.54,8039.733,67.8873638845582,"US",2009-01-01,"Obama"
"2010",566.215,0,5868.943,5302.728,-34.0434812947146,"US",2010-01-01,"Obama"
"2011",608.935,0,7682.599,7073.664,33.3966969454213,"US",2011-01-01,"Obama"
"2012",371.6,0,7310.18,6938.58,-1.90967509907172,"US",2012-01-01,"Obama"
"2013",401.856,0,6900.194,6498.338,-6.34484289292621,"US",2013-01-01,"Obama"
"2014",483.67,0,7099.23,6615.56,1.80387662199164,"US",2014-01-01,"Obama"
"2015",469.458,0,6846.675,6377.217,-3.6027637871926,"US",2015-01-01,"Obama"
